Gene,scores,logfoldchanges,pvals,pvals_adj
HLA-E,16.02972,4.084062,1.002737505556589e-19,4.743650317536555e-15
TAP1,15.862467,7.167754,1.9107579836093154e-18,3.0130742643535295e-14
HCP5,14.970321,3.6540592,1.6186822222536341e-18,3.0130742643535295e-14
STAT1,14.04811,5.7802076,1.0758391484901228e-17,1.2723680649405559e-13
STAT1,13.59882,3.091082,4.864254354935943e-16,4.602265615379094e-12
STAT1,11.856185,3.632278,1.891085408245546e-15,1.491026290131201e-11
IRF1,10.267383,2.247483,7.959442210358952e-13,2.5102488843030064e-09
PSME1,9.772892,3.3373787,1.6507655212114198e-12,4.110145500628876e-09
GBP4,9.621227,3.750356,2.3072339571175413e-10,1.7054424501462425e-07
EPSTI1,9.071566,3.0922456,8.211823169113069e-12,1.5539068746449277e-08
HLA-B,8.857391,8.908323,1.8604014014911436e-11,2.9336669700113845e-08
IRF9,8.490598,1.7396706,1.7985723565890775e-10,1.4669838357441293e-07
CCL5,8.188074,3.779089,9.9369090288417e-10,5.109623428558851e-07
HSP90B1,7.8217664,3.2178564,9.232508930726504e-10,4.852914444287541e-07
CCL5,7.188862,2.0342247,4.4819560590292224e-08,6.667543876870926e-06
ARHGDIB,7.09868,2.2426803,1.6346259217538568e-08,3.376823077747149e-06
PSME1,5.000142,1.2013663,9.272339882749222e-06,0.0003574951775331846
FBP1,-4.372654,-2.6359935,7.491585977346878e-05,0.0018574657118991026
ADH4,-4.9782777,-2.4561698,1.3200137692241919e-05,0.00047487369871246273
MS4A10,-5.660104,-5.1466627,1.0727239453077216e-06,6.7707091263288e-05
ADH4,-6.262545,-3.6375494,1.7102487707576944e-07,1.7550268676406562e-05
APOB,-6.462774,-5.521604,8.82943451736441e-08,1.0963098653883416e-05
AQP10,-6.780235,-5.527039,1.5895690529943068e-07,1.658390342621412e-05
SMPDL3A,-7.0073495,-2.2464733,7.228256018650722e-08,9.52498906613676e-06
AOC1,-7.2529664,-2.2997158,1.9720480969716562e-08,3.801176080610085e-06
SLC25A23,-7.2589736,-1.233869,9.423643713831612e-09,2.3587529797366777e-06
SMPDL3A,-7.5243635,-1.3817621,1.5046165458978396e-08,3.2157284464929347e-06
PRAP1,-7.7228527,-2.3171463,2.4461656432646135e-09,8.982212103178199e-07
DHRS7,-8.64652,-2.2133,8.069327274349552e-11,8.483014785947872e-08
SERPINE2,-10.183548,-2.527329,9.483360561705512e-13,2.8039333630787666e-09
